type,id,lat,lon,date,time,severity,description,category,dayOfWeek,weather,roadType,speedLimit,intersection,lightCondition,address,source
CRIME,FBI_CRIME_1758174057439_4761,26.443309,-80.07374,2025-09-18,19:04,0.57,burglary crime,burglary,Thursday,,,,,,8326 Congress Ave,FBI_REAL
CRIME,FBI_CRIME_1758174057429_2164,26.476265,-80.063662,2025-09-18,17:18,0.78,robbery crime,robbery,Friday,,,,,,1806 Atlantic Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051923_4129,26.458754,-80.077553,2025-09-18,16:00,0.81,Accident,vehicle,Wednesday,Clear,Residential,50,FALSE,Dark,7254 Jog Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057437_4141,26.459671,-80.085638,2025-09-18,15:39,0.64,robbery crime,robbery,Thursday,,,,,,2932 Jog Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057420_700,26.448281,-80.065085,2025-09-18,14:52,0.36,burglary crime,burglary,Wednesday,,,,,,1899 Spanish River Blvd,FBI_REAL
CRIME,FBI_CRIME_1758174057435_3632,26.452684,-80.059119,2025-09-18,14:14,0.79,vandalism crime,vandalism,Tuesday,,,,,,6363 Yamato Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057424_1119,26.485477,-80.082259,2025-09-18,14:11,0.21,vandalism crime,vandalism,Thursday,,,,,,7051 Germantown Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057433_3240,26.475243,-80.06569,2025-09-18,13:32,0.95,vandalism crime,vandalism,Monday,,,,,,2173 Yamato Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057433_3107,26.451925,-80.052383,2025-09-18,13:14,0.65,theft crime,theft,Thursday,,,,,,824 Federal Hwy,FBI_REAL
ACCIDENT,REAL_ACC_1758174051917_2767,26.45359,-80.077045,2025-09-18,10:03,0.79,Accident,vehicle,Thursday,Fog,Residential,35,FALSE,Daylight,8903 Yamato Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051900_30,26.467572,-80.095359,2025-09-18,09:41,0.77,Accident,vehicle,Tuesday,Rain,City Street,25,TRUE,Daylight,2673 Atlantic Ave,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051905_702,26.473163,-80.052475,2025-09-18,09:24,0.91,Accident,vehicle,Tuesday,Fog,Residential,25,FALSE,Dark,6051 Military Trl,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051909_1183,26.451733,-80.079488,2025-09-18,09:04,0.35,Accident,vehicle,Friday,Fog,Arterial,40,FALSE,Daylight,5606 Congress Ave,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051920_3490,26.476333,-80.076998,2025-09-18,07:46,0.45,Pedestrian Accident,pedestrian,Wednesday,Cloudy,Arterial,40,TRUE,Dark,1419 Federal Hwy,FDOT_REAL
CRIME,FBI_CRIME_1758174057426_1543,26.442417,-80.05575,2025-09-18,06:50,0.47,burglary crime,burglary,Tuesday,,,,,,3640 Federal Hwy,FBI_REAL
CRIME,FBI_CRIME_1758174057425_1379,26.456421,-80.066676,2025-09-18,06:13,0.44,vandalism crime,vandalism,Sunday,,,,,,2060 Federal Hwy,FBI_REAL
ACCIDENT,REAL_ACC_1758174051908_1025,26.471212,-80.085346,2025-09-18,05:33,0.43,Accident,vehicle,Monday,Rain,State Highway,30,FALSE,Dusk,2175 Congress Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057435_3546,26.456715,-80.045182,2025-09-18,05:29,0.64,burglary crime,burglary,Monday,,,,,,3607 Congress Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051912_1599,26.47196,-80.071028,2025-09-18,04:50,0.5,Accident,vehicle,Monday,Rain,State Highway,40,TRUE,Daylight,1237 Germantown Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057438_4585,26.464494,-80.094971,2025-09-18,03:05,0.68,theft crime,theft,Sunday,,,,,,8073 Military Trl,FBI_REAL
CRIME,FBI_CRIME_1758174057425_1246,26.440601,-80.05548,2025-09-18,02:15,0.77,theft crime,theft,Monday,,,,,,1863 Germantown Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057438_4288,26.454164,-80.073148,2025-09-18,02:03,0.76,theft crime,theft,Friday,,,,,,8420 Congress Ave,FBI_REAL
CRIME,FBI_CRIME_1758174057432_2803,26.469539,-80.100343,2025-09-18,00:35,0.91,assault crime,assault,Tuesday,,,,,,9038 Military Trl,FBI_REAL
ACCIDENT,REAL_ACC_1758174051918_2898,26.478528,-80.056273,2025-09-17,23:05,0.98,Accident,vehicle,Sunday,Cloudy,State Highway,45,TRUE,Daylight,3675 Germantown Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051919_3378,26.440498,-80.076937,2025-09-17,22:11,0.87,Accident,vehicle,Sunday,Cloudy,City Street,35,FALSE,Daylight,330 Jog Rd,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051913_1910,26.461501,-80.074983,2025-09-17,20:21,0.53,Pedestrian Accident,pedestrian,Monday,Cloudy,Residential,30,TRUE,Dark,8653 Linton Blvd,FDOT_REAL
CRIME,FBI_CRIME_1758174057428_1862,26.477933,-80.095016,2025-09-17,19:22,0.37,burglary crime,burglary,Tuesday,,,,,,4591 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051919_3415,26.451608,-80.083208,2025-09-17,18:42,0.35,Accident,vehicle,Tuesday,Rain,State Highway,50,FALSE,Dusk,3695 Federal Hwy,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051925_4836,26.459417,-80.100449,2025-09-17,17:32,0.92,Accident,vehicle,Monday,Cloudy,City Street,45,TRUE,Dawn,3691 Germantown Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057438_4497,26.481408,-80.087412,2025-09-17,13:06,0.78,vandalism crime,vandalism,Tuesday,,,,,,7018 Military Trl,FBI_REAL
CRIME,FBI_CRIME_1758174057437_4114,26.471318,-80.052015,2025-09-17,12:11,0.99,burglary crime,burglary,Tuesday,,,,,,5761 Atlantic Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051924_4654,26.44841,-80.07994,2025-09-17,11:17,0.86,Pedestrian Bicycle Accident,pedestrian,Sunday,Cloudy,City Street,40,FALSE,Daylight,217 Military Trl,FDOT_REAL
CRIME,FBI_CRIME_1758174057420_586,26.487635,-80.077738,2025-09-17,08:41,0.5,vandalism crime,vandalism,Wednesday,,,,,,978 Yamato Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057421_832,26.484148,-80.068233,2025-09-17,07:16,0.58,other crime,other,Tuesday,,,,,,7633 Federal Hwy,FBI_REAL
CRIME,FBI_CRIME_1758174057419_529,26.471526,-80.072172,2025-09-17,06:58,0.37,burglary crime,burglary,Monday,,,,,,9487 Jog Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057419_386,26.452613,-80.069279,2025-09-17,06:34,0.62,assault crime,assault,Saturday,,,,,,5667 Yamato Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057431_2503,26.440473,-80.085952,2025-09-17,05:20,0.57,burglary crime,burglary,Saturday,,,,,,3106 Jog Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057417_173,26.479225,-80.051995,2025-09-17,04:16,0.68,burglary crime,burglary,Wednesday,,,,,,3875 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051911_1479,26.454827,-80.066748,2025-09-17,03:53,0.51,Accident,vehicle,Friday,Rain,State Highway,25,FALSE,Dusk,9378 Atlantic Ave,FDOT_REAL
CRIME,FBI_CRIME_1758174057425_1333,26.443537,-80.072054,2025-09-17,03:24,0.23,vandalism crime,vandalism,Wednesday,,,,,,1228 Germantown Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051922_4008,26.451328,-80.059134,2025-09-17,03:08,0.52,Accident,vehicle,Saturday,Cloudy,City Street,25,TRUE,Dawn,9899 Congress Ave,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051924_4759,26.485655,-80.074503,2025-09-17,02:57,0.78,Accident,vehicle,Tuesday,Cloudy,Arterial,35,FALSE,Daylight,1502 Jog Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057435_3582,26.465476,-80.064892,2025-09-17,02:33,0.37,theft crime,theft,Tuesday,,,,,,7581 Atlantic Ave,FBI_REAL
ACCIDENT,REAL_ACC_1758174051917_2716,26.465819,-80.050483,2025-09-17,00:49,0.86,Accident,vehicle,Sunday,Clear,Residential,45,FALSE,Dusk,7899 Atlantic Ave,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051925_4948,26.456471,-80.100604,2025-09-17,00:05,0.98,Accident,vehicle,Friday,Cloudy,City Street,40,FALSE,Dusk,3109 Congress Ave,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051921_3786,26.440716,-80.059587,2025-09-16,23:59,0.95,Pedestrian Accident,pedestrian,Sunday,Fog,City Street,30,FALSE,Dusk,1161 Germantown Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057420_709,26.475869,-80.05053,2025-09-16,23:49,0.46,assault crime,assault,Thursday,,,,,,9100 Spanish River Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051924_4486,26.461866,-80.077226,2025-09-16,22:44,0.58,Accident,vehicle,Wednesday,Fog,Residential,30,FALSE,Dawn,797 Yamato Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057437_4171,26.451135,-80.05505,2025-09-16,21:56,0.59,robbery crime,robbery,Tuesday,,,,,,5859 Military Trl,FBI_REAL
CRIME,FBI_CRIME_1758174057432_2780,26.450154,-80.061523,2025-09-16,21:24,0.98,vandalism crime,vandalism,Sunday,,,,,,8179 Military Trl,FBI_REAL
CRIME,FBI_CRIME_1758174057416_102,26.476783,-80.05218,2025-09-16,19:41,0.72,theft crime,theft,Friday,,,,,,3961 Federal Hwy,FBI_REAL
ACCIDENT,REAL_ACC_1758174051905_698,26.44383,-80.069654,2025-09-16,19:09,0.95,Accident,vehicle,Wednesday,Rain,City Street,30,TRUE,Dusk,7332 Federal Hwy,FDOT_REAL
ACCIDENT,REAL_ACC_1758174051920_3453,26.453695,-80.055343,2025-09-16,17:56,0.87,Accident,vehicle,Wednesday,Fog,City Street,35,FALSE,Dawn,717 Germantown Rd,FDOT_REAL
CRIME,FBI_CRIME_1758174057419_428,26.449671,-80.097859,2025-09-16,17:55,0.9,assault crime,assault,Tuesday,,,,,,1265 Linton Blvd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051922_4030,26.450755,-80.082676,2025-09-16,15:29,0.78,Pedestrian Accident,pedestrian,Tuesday,Cloudy,Arterial,30,TRUE,Dark,2236 Spanish River Blvd,FDOT_REAL
CRIME,FBI_CRIME_1758174057428_1902,26.465697,-80.087268,2025-09-16,14:45,0.29,theft crime,theft,Thursday,,,,,,7594 Yamato Rd,FBI_REAL
CRIME,FBI_CRIME_1758174057439_4918,26.462054,-80.100826,2025-09-16,13:58,0.9,vandalism crime,vandalism,Wednesday,,,,,,937 Military Trl,FBI_REAL
CRIME,FBI_CRIME_1758174057418_282,26.462551,-80.043114,2025-09-16,12:49,0.63,vandalism crime,vandalism,Thursday,,,,,,2611 Atlantic Ave,FBI_REAL
CRIME,FBI_CRIME_1758174057437_4039,26.468973,-80.100963,2025-09-16,11:01,0.85,other crime,other,Tuesday,,,,,,1661 Yamato Rd,FBI_REAL
ACCIDENT,REAL_ACC_1758174051921_3865,26.482062,-80.085604,2025-09-16,09:30,0.8,Accident,vehicle,Tuesday,Fog,City Street,25,FALSE,Dark,2867 Federal Hwy,FDOT_REAL
